startdate,enddate,finished,q1,q5_1,q6,q7,q8,q9_1,q10_1,q11_1,q11_2,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q14_1,q14_2,q14_3,q14_4,q16,q22_pagesubmit,q24_pagesubmit,q23_pagesubmit,q25_1,q26_1,q27_1,q28_1,q29_1
2016-06-17 12:05:28,2016-06-17 12:12:49,True,I agree,1983,Male,Married,Non-Hispanic White or Euro-American,United States,3,7,0,$3001 and more,7,6.9,3.8,8.7,7.6,Secretary of Defense,Paul Ryan,,Republicans,The Supreme Court,,,184.252,6.1,8.2,7.1,7,6.6
2016-06-17 12:12:27,2016-06-17 12:18:55,True,I agree,1989,Male,Single,Non-Hispanic White or Euro-American,United States,1,4,0,$1001-$1500,1,9,1,9,1,Secretary of Defense,Mitch McConnell,John Roberts,Republicans,The Supreme Court,165.518,,,5,10,10,7,4.4
2016-06-17 12:18:00,2016-06-17 12:30:26,True,I agree,1986,Male,Single,Non-Hispanic White or Euro-American,United States,1,5,0,Prefer not to disclose,10,10,10,10,10,Secretary of Defense,Republicans,John Roberts,Republicans,The Congress,,242.389,,2,9.5,10,2,2.6
2016-06-17 12:25:23,2016-06-17 12:33:53,True,I agree,1982,Female,Single,Non-Hispanic White or Euro-American,United States,6.4,3,0,$3001 and more,6,4,5,5.5,4,Secretary of Defense,,,,The Congress,169.296,,,3,4,10,3,7.4
2016-06-17 12:26:36,2016-06-17 12:39:37,True,I agree,1987,Male,Married,Arab Middle Eastern or Arab American,Qatar,5,2,0,$2501-$3000,4.4,5,6,9.5,10,secretary of defense,harry reid,john g roberts jr,republican,The Supreme Court,,244.72,,1,9,10,3.5,1
2016-06-17 12:23:04,2016-06-17 12:39:57,True,I agree,1991,Female,Single,"Black, Afro-Caribbean, or African American",United States,8.9,3,0,$1001-$1500,,,,9.1,8.6,,,John Roberts ,Democrats ,The Congress,,,463.617,2.1,10,9.1,9.9,3.8
2016-06-17 12:32:49,2016-06-17 12:42:12,True,I agree,1981,Male,Single,Non-Hispanic White or Euro-American,United States,3.8,3,0,$1501-$2000,3.7,3.8,1,6,5.3,United States Secretary of Defense,Mitch McConnell,John G. Roberts,Republican Party,The Supreme Court,,,165.128,6.6,7,8.5,5.7,5.4
2016-06-17 12:26:27,2016-06-17 12:43:15,True,I agree,1976,Male,Married,Non-Hispanic White or Euro-American,Poland,1.5,4,0,$3001 and more,6,5,1,7,4,Secretary of Defense,Mitch McConnell,John Roberts,Republicans,The Supreme Court,,262.462,,10,1,5,10,6.9
2016-06-17 12:41:00,2016-06-17 12:50:39,True,I agree,1996,Female,Prefer not to disclose,Latino or Hispanic American,Mexico,9,2,0,$0-$500,6.1,7.1,2.8,8.4,1,secretary of defense ,McConnell,Roberts,,The Supreme Court,171.923,,,8.2,5.6,9.2,5.6,6.6
2016-06-17 12:47:45,2016-06-17 13:00:35,True,I agree,1995,Female,Single,Non-Hispanic White or Euro-American,United States,1,3,0,$1001-$1500,6,4,3.3,8.1,1,Sec. of Defense,Mitch McConnell,John Roberts,Republicans,The Supreme Court,,314.065,,6.5,5,7.6,5,1
